METROPOLITAN STATISTICAL AREAS AND COMPONENTS, November 2007, WITH CODES

(Metropolitan statistical areas and metropolitan divisions defined by the Office of Management and Budget, November 2007)
46540           36065         Oneida County, NY

46660                   Valdosta, GA Metropolitan Statistical Area
46660           13027         Brooks County, GA
46660           13101         Echols County, GA
46660           13173         Lanier County, GA
46660           13185         Lowndes County, GA

46700                   Vallejo-Fairfield, CA Metropolitan Statistical Area
46700           06095         Solano County, CA

47020                   Victoria, TX Metropolitan Statistical Area
47020           48057         Calhoun County, TX
47020           48175         Goliad County, TX
47020           48469         Victoria County, TX

47220                   Vineland-Millville-Bridgeton, NJ Metropolitan Statistical Area
47220           34011         Cumberland County, NJ

47260                   Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area
47260           37053         Currituck County, NC
47260           51073         Gloucester County, VA
47260           51093         Isle of Wight County, VA
47260           51095         James City County, VA
47260           51115         Mathews County, VA
47260           51181         Surry County, VA
47260           51199         York County, VA
47260           51550         Chesapeake city, VA
47260           51650         Hampton city, VA
47260           51700         Newport News city, VA
47260           51710         Norfolk city, VA
47260           51735         Poquoson city, VA
47260           51740         Portsmouth city, VA
47260           51800         Suffolk city, VA
47260           51810         Virginia Beach city, VA
47260           51830         Williamsburg city, VA

47300                   Visalia-Porterville, CA Metropolitan Statistical Area
47300           06107         Tulare County, CA

47380                   Waco, TX Metropolitan Statistical Area
47380           48309         McLennan County, TX

47580                   Warner Robins, GA Metropolitan Statistical Area
47580           13153         Houston County, GA

47900                   Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
47900   13644              Bethesda-Frederick-Gaithersburg, MD Metropolitan Division
47900   13644   24021         Frederick County, MD
47900   13644   24031         Montgomery County, MD
47900   47894              Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division
47900   47894   11001         District of Columbia, DC
47900   47894   24009         Calvert County, MD
47900   47894   24017         Charles County, MD
47900   47894   24033         Prince George's County, MD
47900   47894   51013         Arlington County, VA
47900   47894   51043         Clarke County, VA
47900   47894   51059         Fairfax County, VA
47900   47894   51061         Fauquier County, VA
47900   47894   51107         Loudoun County, VA
47900   47894   51153         Prince William County, VA
47900   47894   51177         Spotsylvania County, VA
47900   47894   51179         Stafford County, VA
47900   47894   51187         Warren County, VA
47900   47894   51510         Alexandria city, VA
47900   47894   51600         Fairfax city, VA
47900   47894   51610         Falls Church city, VA
47900   47894   51630         Fredericksburg city, VA
47900   47894   51683         Manassas city, VA
47900   47894   51685         Manassas Park city, VA
47900   47894   54037         Jefferson County, WV

47940                   Waterloo-Cedar Falls, IA Metropolitan Statistical Area
47940           19013         Black Hawk County, IA
47940           19017         Bremer County, IA
47940           19075         Grundy County, IA

48140                   Wausau, WI Metropolitan Statistical Area
48140           55073         Marathon County, WI

48260                   Weirton-Steubenville, WV-OH Metropolitan Statistical Area
48260           39081         Jefferson County, OH
48260           54009         Brooke County, WV
48260           54029         Hancock County, WV

48300                   Wenatchee, WA Metropolitan Statistical Area
48300           53007         Chelan County, WA
48300           53017         Douglas County, WA

48540                   Wheeling, WV-OH Metropolitan Statistical Area
48540           39013         Belmont County, OH
48540           54051         Marshall County, WV
48540           54069         Ohio County, WV

48620                   Wichita, KS Metropolitan Statistical Area
48620           20015         Butler County, KS
48620           20079         Harvey County, KS
48620           20173         Sedgwick County, KS
48620           20191         Sumner County, KS

48660                   Wichita Falls, TX Metropolitan Statistical Area
48660           48009         Archer County, TX
48660           48077         Clay County, TX
48660           48485         Wichita County, TX

48700                   Williamsport, PA Metropolitan Statistical Area
48700           42081         Lycoming County, PA

48900                   Wilmington, NC Metropolitan Statistical Area
48900           37019         Brunswick County, NC
48900           37129         New Hanover County, NC
48900           37141         Pender County, NC

49020                   Winchester, VA-WV Metropolitan Statistical Area
49020           51069         Frederick County, VA
49020           51840         Winchester city, VA
49020           54027         Hampshire County, WV

49180                   Winston-Salem, NC Metropolitan Statistical Area
49180           37059         Davie County, NC
49180           37067         Forsyth County, NC
49180           37169         Stokes County, NC
49180           37197         Yadkin County, NC

49340                   Worcester, MA Metropolitan Statistical Area
49340           25027         Worcester County, MA

49420                   Yakima, WA Metropolitan Statistical Area
49420           53077         Yakima County, WA

49500                   Yauco, PR Metropolitan Statistical Area
49500           72055         Guánica Municipio, PR
49500           72059         Guayanilla Municipio, PR
49500           72111         Peñuelas Municipio, PR
49500           72153         Yauco Municipio, PR

49620                   York-Hanover, PA Metropolitan Statistical Area
49620           42133         York County, PA

49660                   Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area
49660           39099         Mahoning County, OH
49660           39155         Trumbull County, OH
49660           42085         Mercer County, PA

49700                   Yuba City, CA Metropolitan Statistical Area
49700           06101         Sutter County, CA
49700           06115         Yuba County, CA

49740                   Yuma, AZ Metropolitan Statistical Area
49740           04027         Yuma County, AZ


* The portion of Sullivan city in Crawford County, Missouri, is legally
part of the St. Louis, MO-IL MSA.  Census 2000 tabulations and
intercensal estimates for the St. Louis, MO-IL Metropolitan Statistical Areas
do not include this area.


